time,open,high,low,close,OB long,OB Short,FVG Long,FVG Short
2026-03-02T14:40:00+08:00,1.17371,1.17372,1.17313,1.17326,0,0,0,0
2026-03-02T14:45:00+08:00,1.17332,1.17391,1.17314,1.17391,0,0,0,0
2026-03-02T14:50:00+08:00,1.1739,1.1739,1.17313,1.17318,0,0,0,0
2026-03-02T14:55:00+08:00,1.17315,1.17336,1.17302,1.17324,0,0,0,0
2026-03-02T15:00:00+08:00,1.17322,1.17342,1.17249,1.17263,0,0,0,0
2026-03-02T15:05:00+08:00,1.17263,1.17274,1.17225,1.17235,0,0,0,0
2026-03-02T15:10:00+08:00,1.17239,1.17287,1.17227,1.17249,0,0,0,0
2026-03-02T15:15:00+08:00,1.17247,1.17278,1.17175,1.17195,0,0,0,0
2026-03-02T15:20:00+08:00,1.17194,1.17262,1.17159,1.17259,0,0,0,0
2026-03-02T15:25:00+08:00,1.17261,1.17272,1.17219,1.17229,0,0,0,0
2026-03-02T15:30:00+08:00,1.1723,1.17276,1.17198,1.17202,0,0,0,0
2026-03-02T15:35:00+08:00,1.17203,1.17246,1.17123,1.17168,0,0,0,0
2026-03-02T15:40:00+08:00,1.17169,1.17182,1.17123,1.17153,0,0,0,0
2026-03-02T15:45:00+08:00,1.17155,1.17156,1.17078,1.17082,0,0,0,0
2026-03-02T15:50:00+08:00,1.17078,1.17117,1.17035,1.17109,0,0,0,0
2026-03-02T15:55:00+08:00,1.17109,1.1717,1.17099,1.17161,0,0,0,0
2026-03-02T16:00:00+08:00,1.17165,1.17232,1.17154,1.17158,0,0,0,0
2026-03-02T16:05:00+08:00,1.17161,1.17167,1.17105,1.17147,0,0,0,0
2026-03-02T16:10:00+08:00,1.17146,1.17174,1.17114,1.17151,0,0,0,0
2026-03-02T16:15:00+08:00,1.17152,1.17162,1.17092,1.17106,0,0,0,0
2026-03-02T16:20:00+08:00,1.17105,1.17111,1.17035,1.17042,0,0,0,0
2026-03-02T16:25:00+08:00,1.17041,1.17066,1.17017,1.17024,0,0,0,0
2026-03-02T16:30:00+08:00,1.17025,1.1704,1.16981,1.17036,0,0,0,0
2026-03-02T16:35:00+08:00,1.17037,1.17046,1.16984,1.17013,0,0,0,0
2026-03-02T16:40:00+08:00,1.17014,1.17137,1.16993,1.17113,0,0,0,0
2026-03-02T16:45:00+08:00,1.17116,1.17191,1.17105,1.17173,0,0,0,0
2026-03-02T16:50:00+08:00,1.17177,1.17239,1.17173,1.17235,0,0,0,0
