time,open,high,low,close,Long,Short
2026-02-26T06:15:00+08:00,1.18064,1.18072,1.18064,1.18068,0,0
2026-02-26T06:20:00+08:00,1.18069,1.18073,1.18067,1.18072,0,0
2026-02-26T06:25:00+08:00,1.18071,1.18075,1.18067,1.18074,0,0
2026-02-26T06:30:00+08:00,1.18075,1.18085,1.18067,1.18078,0,0
2026-02-26T06:35:00+08:00,1.18078,1.18086,1.18077,1.18085,0,0
2026-02-26T06:40:00+08:00,1.18081,1.18086,1.18081,1.18082,0,0
2026-02-26T06:45:00+08:00,1.18082,1.18104,1.18082,1.181,0,0
2026-02-26T06:50:00+08:00,1.18101,1.18121,1.18101,1.18112,0,0
2026-02-26T06:55:00+08:00,1.18113,1.18119,1.18094,1.18096,0,0
2026-02-26T07:00:00+08:00,1.18099,1.18137,1.18096,1.18122,0,0
2026-02-26T07:05:00+08:00,1.18123,1.18137,1.18121,1.18134,0,0
2026-02-26T07:10:00+08:00,1.18132,1.18138,1.18116,1.1812,0,0
2026-02-26T07:15:00+08:00,1.18121,1.18121,1.18107,1.18118,0,0
2026-02-26T07:20:00+08:00,1.18119,1.18136,1.18117,1.18135,0,0
2026-02-26T07:25:00+08:00,1.18134,1.18141,1.18129,1.18129,0,0
2026-02-26T07:30:00+08:00,1.18127,1.18129,1.18116,1.18118,0,0
2026-02-26T07:35:00+08:00,1.18117,1.18134,1.18114,1.18133,0,0
2026-02-26T07:40:00+08:00,1.1813,1.18143,1.1813,1.18134,0,0
2026-02-26T07:45:00+08:00,1.18132,1.18162,1.18131,1.18157,0,0
2026-02-26T07:50:00+08:00,1.1816,1.18165,1.18144,1.18148,0,0
2026-02-26T07:55:00+08:00,1.18148,1.18163,1.18146,1.1815,0,0
2026-02-26T08:00:00+08:00,1.18149,1.18159,1.18136,1.18136,0,0
2026-02-26T08:05:00+08:00,1.18136,1.18156,1.18117,1.18127,0,0
2026-02-26T08:10:00+08:00,1.18128,1.1814,1.18123,1.18134,0,0
2026-02-26T08:15:00+08:00,1.18132,1.18157,1.1813,1.18157,0,0
2026-02-26T08:20:00+08:00,1.18158,1.18175,1.18151,1.18156,0,0
2026-02-26T08:25:00+08:00,1.18152,1.18159,1.18151,1.18155,0,0
2026-02-26T08:30:00+08:00,1.18154,1.18174,1.18131,1.18169,0,0
2026-02-26T08:35:00+08:00,1.18168,1.18168,1.18156,1.18161,0,0
2026-02-26T08:40:00+08:00,1.18162,1.18181,1.18162,1.18177,0,0
2026-02-26T08:45:00+08:00,1.18175,1.18194,1.18148,1.18149,0,0
2026-02-26T08:50:00+08:00,1.1815,1.18173,1.18148,1.18163,0,0
2026-02-26T08:55:00+08:00,1.18162,1.18191,1.18159,1.1819,0,0
2026-02-26T09:00:00+08:00,1.18191,1.18213,1.18178,1.18201,0,0
2026-02-26T09:05:00+08:00,1.18206,1.1821,1.18187,1.18188,0,0
2026-02-26T09:10:00+08:00,1.18189,1.18205,1.18181,1.18194,0,0
2026-02-26T09:15:00+08:00,1.18193,1.18228,1.18189,1.18228,0,0
2026-02-26T09:20:00+08:00,1.18237,1.18266,1.1823,1.18266,0,0
2026-02-26T09:25:00+08:00,1.18264,1.18273,1.18227,1.18229,0,0
2026-02-26T09:30:00+08:00,1.18226,1.1824,1.18209,1.18234,1,0
2026-02-26T09:35:00+08:00,1.18233,1.18254,1.18227,1.1825,0,0
