time,open,high,low,close,Ultra High Volume,Very High Volume,High Volume,Trend MA,High Taken,Low Taken,High Taken (no text),Low Taken (no text),#1,#2,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Swing High,Swing Low,Turtle Soup Buy Auto,Turtle Soup Sell Auto,Turtle Soup Buy Huge,Turtle Soup Sell Huge,Turtle Soup Buy Large,Turtle Soup Sell Large,Turtle Soup Buy Normal,Turtle Soup Sell Normal,Turtle Soup Buy Small,Turtle Soup Sell Small,Turtle Soup Buy Tiny,Turtle Soup Sell Tiny,Plot,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2026-01-05T18:45:00+08:00,4435.1,4437.05,4434.19,4436.61,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3295.92,3297.05,3294.8,3295.14,3,2,1,0
2026-01-05T18:50:00+08:00,4436.6,4439.8,4436.35,4438.32,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3295.18,3297.85,3295.15,3296.21,3,2,1,0
2026-01-05T18:55:00+08:00,4438.32,4438.47,4435.17,4436.17,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3296.27,3296.95,3294.47,3294.89,3,2,1,0
2026-01-05T19:00:00+08:00,4436.13,4437.17,4431.53,4431.98,,,4428.478401845862,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3294.91,3295.71,3291.52,3291.83,3,2,1,0
2026-01-05T19:05:00+08:00,4431.99,4433.57,4429.89,4431.37,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3291.88,3293.26,3290.62,3291.9,3,2,1,0
2026-01-05T19:10:00+08:00,4431.36,4433.65,4430.68,4433.21,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3291.8,3293.8,3291.37,3293.25,3,2,1,0
2026-01-05T19:15:00+08:00,4433.43,4433.61,4427.44,4427.82,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3293.21,3293.28,3287.62,3287.77,3,2,1,0
2026-01-05T19:20:00+08:00,4427.84,4430.88,4426.81,4428.03,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3287.8,3289.52,3286.67,3287.61,3,2,1,0
2026-01-05T19:25:00+08:00,4428.14,4428.21,4410.88,4417.36,,,4406.745514258486,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3287.66,3287.72,3276.4,3281,3,2,1,0
2026-01-05T19:30:00+08:00,4417.4,4421.39,4415.18,4420.08,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3280.98,3283.63,3279.38,3282.33,3,2,1,0
2026-01-05T19:35:00+08:00,4420.09,4422.88,4418.58,4421.46,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3282.34,3284.37,3280.91,3283.56,3,2,1,0
2026-01-05T19:40:00+08:00,4421.63,4424.6,4421.39,4424.26,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3283.61,3285.23,3282.78,3284.64,3,2,1,0
2026-01-05T19:45:00+08:00,4424.18,4425.95,4422.15,4425.92,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3284.64,3288.02,3283.81,3288.02,3,2,1,0
2026-01-05T19:50:00+08:00,4426.1,4426.11,4420.69,4420.72,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3288.1,3288.33,3284.09,3284.37,3,2,1,0
2026-01-05T19:55:00+08:00,4420.33,4421.38,4418.16,4419.36,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3284.1,3284.9,3282.23,3283.37,3,2,1,0
2026-01-05T20:00:00+08:00,4419.29,4421.47,4418.35,4419.31,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3283.05,3285.02,3282.7,3283.31,3,2,1,0
