time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2026-03-05T04:15:00+08:00,1.16404,1.16404,1.16383,1.1639,,1.16404,1.16383,1.1639
2026-03-05T04:20:00+08:00,1.16389,1.16412,1.16388,1.16409,,1.16412,1.16388,1.16409
2026-03-05T04:25:00+08:00,1.16413,1.16413,1.16395,1.16409,,1.16413,1.16395,1.16409
2026-03-05T04:30:00+08:00,1.16407,1.16418,1.16395,1.16416,,1.16418,1.16395,1.16416
2026-03-05T04:35:00+08:00,1.16415,1.16438,1.16414,1.16431,,1.16438,1.16414,1.16431
2026-03-05T04:40:00+08:00,1.16432,1.16438,1.16417,1.1643,,1.16438,1.16417,1.1643
2026-03-05T04:45:00+08:00,1.16431,1.16435,1.1641,1.16412,,1.16435,1.1641,1.16412
2026-03-05T04:50:00+08:00,1.16411,1.16425,1.164,1.16424,,1.16425,1.164,1.16424
2026-03-05T04:55:00+08:00,1.16424,1.16425,1.16402,1.16405,,1.16425,1.16402,1.16405
2026-03-05T05:00:00+08:00,1.16404,1.16408,1.16381,1.16382,,1.16408,1.16381,1.16382
2026-03-05T05:05:00+08:00,1.16382,1.16386,1.16376,1.16383,,1.16386,1.16376,1.16383
2026-03-05T05:10:00+08:00,1.16383,1.16395,1.1637,1.16395,,1.16395,1.1637,1.16395
2026-03-05T05:15:00+08:00,1.16397,1.16415,1.16394,1.16412,,1.16415,1.16394,1.16412
2026-03-05T05:20:00+08:00,1.16413,1.16418,1.164,1.16402,,1.16418,1.164,1.16402
2026-03-05T05:25:00+08:00,1.164,1.16403,1.16389,1.16403,,1.16403,1.16389,1.16403
2026-03-05T05:30:00+08:00,1.16402,1.16403,1.1638,1.16383,,1.16403,1.1638,1.16383
2026-03-05T05:35:00+08:00,1.16384,1.16385,1.16362,1.16369,,1.16385,1.16362,1.16369
2026-03-05T05:40:00+08:00,1.16369,1.16369,1.16354,1.16355,,1.16369,1.16354,1.16355
2026-03-05T05:45:00+08:00,1.16355,1.16365,1.16355,1.16356,,1.16365,1.16355,1.16356
2026-03-05T05:50:00+08:00,1.16356,1.16369,1.16356,1.16363,,1.16369,1.16356,1.16363
2026-03-05T05:55:00+08:00,1.16362,1.16372,1.16343,1.16355,,1.16372,1.16343,1.16355
2026-03-05T06:00:00+08:00,1.1628,1.16283,1.16239,1.16267,,1.16283,1.16239,1.16267
2026-03-05T06:05:00+08:00,1.16276,1.16293,1.16248,1.16278,,1.16293,1.16248,1.16278
2026-03-05T06:10:00+08:00,1.1628,1.16286,1.16265,1.16279,,1.16286,1.16265,1.16279
