time,open,high,low,close,Break Major External Up TrendLine,React Major External Up TrendLine,Break Major External Down TrendLine,React Major External Down TrendLine,Break Major Internal Up TrendLine,React Major Internal Up TrendLine,Break Major Internal Down TrendLine,React Major Internal Down TrendLine,Break Minor External Up TrendLine,React Minor External Up TrendLine,Break Minor External Down TrendLine,React Minor External Down TrendLine,Break Minor Internal Up TrendLine,React Minor Internal Up TrendLine,Break Minor Internal Down TrendLine,React Minor Internal Down TrendLine
2026-03-06T05:45:00+08:00,1.16043,1.16053,1.16029,1.16053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:50:00+08:00,1.16049,1.16081,1.16048,1.16075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:55:00+08:00,1.16077,1.16088,1.16076,1.16081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:00:00+08:00,1.16078,1.16087,1.16063,1.16065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:05:00+08:00,1.16063,1.16069,1.16062,1.16065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:10:00+08:00,1.16064,1.16067,1.16056,1.16059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:15:00+08:00,1.16056,1.16079,1.16056,1.16079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:20:00+08:00,1.16079,1.1609,1.16075,1.16078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:25:00+08:00,1.16077,1.16087,1.16072,1.16072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:30:00+08:00,1.16074,1.16082,1.16071,1.16081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:35:00+08:00,1.16082,1.16082,1.16065,1.16068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:40:00+08:00,1.16066,1.1607,1.16064,1.1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:45:00+08:00,1.16069,1.16073,1.16067,1.16069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:50:00+08:00,1.16068,1.16071,1.16067,1.1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T06:55:00+08:00,1.1607,1.1607,1.16063,1.16065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:00:00+08:00,1.16075,1.16089,1.16058,1.16061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:05:00+08:00,1.16065,1.16075,1.1603,1.16062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:10:00+08:00,1.16063,1.16084,1.1606,1.16078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:15:00+08:00,1.16079,1.16089,1.16066,1.1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:20:00+08:00,1.16081,1.16097,1.16079,1.16093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:25:00+08:00,1.16093,1.16093,1.16076,1.16084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:30:00+08:00,1.16084,1.16091,1.16075,1.16084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:35:00+08:00,1.16083,1.16098,1.16079,1.16096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:40:00+08:00,1.16095,1.16097,1.16084,1.16093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T07:45:00+08:00,1.16092,1.16102,1.16079,1.16086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
