time_utc,time_hk,direction,signal_type,rejection_reason,filter_htf_poi,filter_trend,filter_time
2025-12-08 14:10:00+00:00,2025-12-08 22:10:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-08 18:10:00+00:00,2025-12-09 02:10:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-08 18:35:00+00:00,2025-12-09 02:35:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-08 20:15:00+00:00,2025-12-09 04:15:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-08 21:15:00+00:00,2025-12-09 05:15:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-08 21:30:00+00:00,2025-12-09 05:30:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-08 23:00:00+00:00,2025-12-09 07:00:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-08 23:20:00+00:00,2025-12-09 07:20:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-08 23:35:00+00:00,2025-12-09 07:35:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-09 00:40:00+00:00,2025-12-09 08:40:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-09 03:15:00+00:00,2025-12-09 11:15:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-09 04:10:00+00:00,2025-12-09 12:10:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-09 06:45:00+00:00,2025-12-09 14:45:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-09 07:15:00+00:00,2025-12-09 15:15:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-09 07:50:00+00:00,2025-12-09 15:50:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-09 08:00:00+00:00,2025-12-09 16:00:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-09 10:00:00+00:00,2025-12-09 18:00:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-09 10:15:00+00:00,2025-12-09 18:15:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-09 13:00:00+00:00,2025-12-09 21:00:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-09 13:25:00+00:00,2025-12-09 21:25:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-09 13:30:00+00:00,2025-12-09 21:30:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-09 15:05:00+00:00,2025-12-09 23:05:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-09 23:50:00+00:00,2025-12-10 07:50:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-10 05:30:00+00:00,2025-12-10 13:30:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-10 06:10:00+00:00,2025-12-10 14:10:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-10 06:15:00+00:00,2025-12-10 14:15:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-10 06:30:00+00:00,2025-12-10 14:30:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-10 10:20:00+00:00,2025-12-10 18:20:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-10 10:45:00+00:00,2025-12-10 18:45:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-10 12:50:00+00:00,2025-12-10 20:50:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-10 13:05:00+00:00,2025-12-10 21:05:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-10 13:40:00+00:00,2025-12-10 21:40:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-10 14:25:00+00:00,2025-12-10 22:25:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-10 14:45:00+00:00,2025-12-10 22:45:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
