time,open,high,low,close,EMA,3-4 AM,10-11 AM,2-3 PM,Shapes,Shapes,Trend MA,TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2025-12-02T22:00:00+08:00,4212.48,4224,4212.28,4223.27,4210.058565978489,0,0,0,0,0,,3,2,1,0
2025-12-02T22:15:00+08:00,4223.35,4230.55,4221.89,4227.8,4210.754308489137,0,0,0,0,0,,3,2,1,0
2025-12-02T22:30:00+08:00,4227.85,4229.41,4215.33,4218.1,4211.042374822896,0,0,0,0,0,,3,2,1,0
2025-12-02T22:45:00+08:00,4218.15,4225.82,4214.31,4219.18,4211.361497378861,0,0,0,1,0,,3,2,1,0
2025-12-02T23:00:00+08:00,4219,4219.62,4204.39,4206.13,4211.156340618905,0,0,0,0,0,,3,2,1,0
2025-12-02T23:15:00+08:00,4206.14,4208.8,4186.65,4187.68,4210.2356998103205,0,0,0,0,0,,3,2,1,0
2025-12-02T23:30:00+08:00,4187.71,4192.12,4180,4189.24,4209.412339033445,0,1,0,0,0,,3,2,1,0
2025-12-02T23:45:00+08:00,4189.32,4189.66,4163.42,4169.54,4207.848717894879,0,0,0,0,0,,3,2,1,0
2025-12-03T00:00:00+08:00,4169.9,4178.3,4166.86,4177.4,4206.654650526452,0,0,0,0,0,,3,2,1,0
2025-12-03T00:15:00+08:00,4177.22,4179.58,4171.29,4177.43,4205.508585799925,0,0,0,0,0,,3,2,1,0
2025-12-03T00:30:00+08:00,4177.3,4190.14,4177.01,4186.14,4204.749033415614,0,0,0,0,0,,3,2,1,0
2025-12-03T00:45:00+08:00,4186.12,4188.89,4180.53,4184.86,4203.969071320884,0,0,0,0,0,,3,2,1,0
2025-12-03T01:00:00+08:00,4184.85,4191.89,4184.74,4187.4,4203.319303818104,0,0,0,0,0,,3,2,1,0
2025-12-03T01:15:00+08:00,4187.42,4192.78,4187.4,4192.24,4202.884821315433,0,0,0,0,0,,3,2,1,0
2025-12-03T01:30:00+08:00,4192.21,4196.4,4190.26,4193.06,4202.499534205024,0,0,0,0,0,,3,2,1,0
2025-12-03T01:45:00+08:00,4192.92,4196.86,4192.92,4193.74,4202.156023059729,0,0,0,0,0,,3,2,1,0
2025-12-03T02:00:00+08:00,4193.52,4196.72,4191.07,4192.48,4201.7765711750335,0,0,0,0,0,,3,2,1,0
2025-12-03T02:15:00+08:00,4192.32,4195.34,4189.13,4189.59,4201.298666423071,0,0,0,0,0,,3,2,1,0
2025-12-03T02:30:00+08:00,4189.35,4191.12,4183.34,4187.35,4200.751659896676,0,0,0,0,0,,3,2,1,0
2025-12-03T02:45:00+08:00,4187.33,4191.78,4185.89,4190.76,4200.359830096806,0,0,0,0,0,,3,2,1,0
2025-12-03T03:00:00+08:00,4191.08,4198.31,4190.95,4197.03,4200.2292485243825,0,0,0,0,0,,3,2,1,0
2025-12-03T03:15:00+08:00,4197.03,4198.28,4193.9,4197.45,4200.120258386171,0,0,0,0,0,,3,2,1,0
2025-12-03T03:30:00+08:00,4197.4,4199.79,4193.66,4195.12,4199.924169822008,0,0,1,0,0,,3,2,1,0
2025-12-03T03:45:00+08:00,4195.03,4200.59,4194.07,4196.69,4199.797339632909,0,0,0,0,0,,3,2,1,0
2025-12-03T04:00:00+08:00,4196.71,4199.99,4194.92,4198.06,4199.729208666912,0,0,0,0,0,,3,2,1,0
2025-12-03T04:15:00+08:00,4198.32,4199.57,4195.84,4198.63,4199.686102444681,0,0,0,0,0,,3,2,1,0
2025-12-03T04:30:00+08:00,4198.65,4212.38,4198.62,4209.89,4200.086255289987,0,0,0,0,0,,3,2,1,0
2025-12-03T04:45:00+08:00,4210.52,4212.31,4207.72,4210.16,4200.481304102144,0,0,0,0,0,,3,2,1,0
2025-12-03T05:00:00+08:00,4210.04,4211.81,4207.66,4209.28,4200.8263510001,0,0,0,0,0,,3,2,1,0
2025-12-03T05:15:00+08:00,4209.24,4211.24,4208.47,4210,4201.186101941273,0,0,0,0,0,,3,2,1,0
2025-12-03T05:30:00+08:00,4210.12,4211.59,4208.98,4210.21,4201.539980296517,0,0,0,0,0,,3,2,1,0
2025-12-03T05:45:00+08:00,4209.96,4210.58,4205.01,4205.42,4201.692137931947,0,0,0,0,0,,3,2,1,0
2025-12-03T07:00:00+08:00,4205.93,4212.86,4202.3,4208.18,4201.946563895401,0,0,0,0,0,,3,2,1,0
2025-12-03T07:15:00+08:00,4208.07,4211.14,4207.59,4209,4202.223169232836,0,0,0,0,0,,3,2,1,0
2025-12-03T07:30:00+08:00,4208.72,4209.15,4206.79,4208.76,4202.47951553743,0,0,0,0,0,,3,2,1,0
2025-12-03T07:45:00+08:00,4208.74,4216.07,4208.47,4212.79,4202.883848261453,0,0,0,0,0,,3,2,1,0
2025-12-03T08:00:00+08:00,4212.81,4212.95,4207.06,4209.74,4203.152716957082,0,0,0,0,0,,3,2,1,0
2025-12-03T08:15:00+08:00,4209.75,4211.77,4206.22,4207.74,4203.332610409745,0,0,0,0,0,,3,2,1,0
2025-12-03T08:30:00+08:00,4207.75,4211.23,4205.47,4206.85,4203.470547256422,0,0,0,0,0,,3,2,1,0
2025-12-03T08:45:00+08:00,4206.86,4211.86,4204.33,4211.85,4203.799153246367,0,0,0,0,0,,3,2,1,0
2025-12-03T09:00:00+08:00,4212.94,4221.1,4211.57,4215.69,4204.265460962195,0,0,0,0,0,,3,2,1,0
2025-12-03T09:15:00+08:00,4216.08,4219.75,4214.11,4216.94,4204.762501708776,0,0,0,0,0,,3,2,1,0
2025-12-03T09:30:00+08:00,4216.97,4218.95,4213.14,4217.05,4205.244364386863,0,0,0,0,0,,3,2,1,0
